dataset,optimizer,iteration,variation,runtime
Coffee,ssg-1000-1,28_770774145339165431,nan,785.5642728805542
Coffee,ssg-1000-1,4_1685156602300009255,nan,833.9926707744598
Coffee,ssg-1000-1,11_524812844449860411,nan,853.4663186073303
Coffee,adam-1000-1,10_356744795562904667,0.679671469219552,1141.373892068863
Coffee,ssg-1000-10,5_1772159308138482820,0.7827823460588826,1182.6055057048798
Coffee,ssg-1000-10,26_1032703653598661808,0.7827823460588826,1226.0848278999329
Coffee,ssg-1000-10,20_2184994588286979249,0.7827823460588826,1227.6223576068878
Coffee,ssg-1000-10,3_1565330725593353429,0.7827823460588826,1263.5858371257782
Coffee,ssg-1000-10,14_771477283025128684,0.7827823460588826,1286.0849087238312
Coffee,ssg-1000-1,23_381132513222790477,nan,1383.412142276764
Coffee,ssg-1000-1,13_2303319081865907568,nan,1419.2386169433594
Coffee,ssg-1000-1,25_548789894516772317,nan,1527.4676361083984
Coffee,ssg-1000-1,8_2051767314105175526,nan,1537.1301290988922
Coffee,ssg-1000-1,0_594117261371837940,nan,1550.5261862277985
Coffee,ssg-1000-1,2_1391909154590756389,nan,1599.8586106300354
Coffee,ssg-1000-1,26_1945818373652680247,nan,1618.074848651886
Coffee,ssg-1000-1,1_677864313280466489,nan,1619.5560750961304
Coffee,ssg-1000-1,10_1096508863114317380,nan,1630.7171545028687
Coffee,ssg-1000-1,15_547005936900705866,nan,1636.4762637615204
Coffee,ssg-1000-1,9_731871774681009748,nan,1646.5777068138123
Coffee,ssg-1000-1,3_1647109651688263259,nan,1653.9665033817291
Coffee,ssg-1000-1,20_1877275368532938334,nan,1657.0441541671753
Coffee,ssg-1000-1,12_1715227695563869794,nan,1660.982836008072
Coffee,ssg-1000-1,17_1261617026699300465,nan,1675.7832388877869
Coffee,ssg-1000-1,27_1544708285502787188,nan,1678.8896667957306
Coffee,ssg-1000-1,5_1428052850574823032,nan,1682.861921787262
Coffee,ssg-1000-1,7_1158703837851094650,nan,1684.7471990585327
Coffee,ssg-1000-1,29_841675053144673916,nan,1686.1271033287048
Coffee,ssg-1000-1,22_506687395265973889,nan,1691.4705381393433
Coffee,ssg-1000-1,21_398270600964935298,nan,1692.4019527435303
Coffee,ssg-1000-1,16_1130516208005615235,nan,1693.7251002788544
Coffee,ssg-1000-1,24_1283303244289740419,nan,1693.7857768535614
Coffee,ssg-1000-1,6_505565343649828494,nan,1704.4763221740723
Coffee,ssg-1000-1,14_750494752876465815,nan,1713.564593553543
Coffee,ssg-1000-1,18_1435051242085617309,nan,1719.8580243587494
Coffee,ssg-1000-1,19_211792329382497951,nan,1721.327972650528
Coffee,ssg-1000-10,29_1429402501097918319,0.905685271551864,1095.5748498439789
Coffee,adam-1000-10,1_886615391906762718,0.7520567926187346,898.6733911037445
Coffee,adam-1000-10,5_700748448789368803,0.7345938509828673,781.5265924930573
Coffee,adam-1000-10,3_1716355244738154485,0.7345938509828673,837.2054538726807
Coffee,adam-1000-10,4_1406710230368063495,0.7345938509828673,853.523206949234
Coffee,adam-1000-10,6_2254393013453131849,0.7345938509828673,861.529153585434
Coffee,ssg-1000-10,23_2274765314648379538,0.7827823460588826,2220.6050963401794
Coffee,adam-1000-10,0_1160919353781063890,1.22994090790116,1431.009915113449
Coffee,adam-1000-1,21_486810973814853962,0.679671469219552,2404.3493008613586
Coffee,adam-1000-1,24_596190940301824513,0.679671469219552,2587.3147423267365
Coffee,ssg-1000-10,17_394930834395566600,0.7827823460588826,2593.861892223358
Coffee,adam-1000-1,13_270964746654519833,0.679671469219552,2611.299259185791
Coffee,adam-1000-1,5_998307631346946659,0.679671469219552,2685.6536588668823
Coffee,adam-1000-1,27_261546330050990702,0.679671469219552,2696.0968170166016
Coffee,adam-1000-1,25_1646511517362754164,0.679671469219552,2702.7576100826263
Coffee,adam-1000-1,3_1717962180982149762,0.679671469219552,2716.863034248352
Coffee,adam-1000-1,15_1577740363580248707,0.679671469219552,2717.798105955124
Coffee,adam-1000-1,28_798131094149862022,0.679671469219552,2720.301817178726
Coffee,adam-1000-1,20_1483943775393747590,0.679671469219552,2720.7854928970337
Coffee,adam-1000-1,7_1931673156561343110,0.679671469219552,2721.057460784912
Coffee,adam-1000-1,29_1883510698974057095,0.679671469219552,2721.768889427185
Coffee,adam-1000-1,6_1232495361726026377,0.679671469219552,2723.7541103363037
Coffee,adam-1000-1,0_172250042956976783,0.679671469219552,2729.3008782863617
Coffee,adam-1000-1,19_2171031340370039442,0.679671469219552,2733.0224640369415
Coffee,adam-1000-1,17_377241891327906454,0.679671469219552,2736.2989234924316
Coffee,adam-1000-1,12_1473960759569355420,0.679671469219552,2742.837963819504
Coffee,adam-1000-1,11_1814201334249755293,0.679671469219552,2743.979179382324
Coffee,adam-1000-1,9_1628349234539336350,0.679671469219552,2744.928506374359
Coffee,adam-1000-1,23_2080615750438949535,0.679671469219552,2745.926771879196
Coffee,adam-1000-1,14_388868127280009889,0.679671469219552,2747.283483505249
Coffee,ssg-1000-10,10_1547099723293201059,0.7827823460588826,2749.436341524124
Coffee,adam-1000-1,8_32648350113141416,0.679671469219552,2754.236762523651
Coffee,adam-1000-1,22_1229431572575228585,0.679671469219552,2755.5574061870575
Coffee,adam-1000-1,18_759975841642779309,0.679671469219552,2759.395583629608
Coffee,adam-1000-1,16_422677010322494126,0.679671469219552,2760.328117609024
Coffee,adam-1000-1,4_2291161781797589682,0.679671469219552,2765.2193121910095
Coffee,adam-1000-1,2_954638877782381237,0.679671469219552,2767.595638036728
Coffee,ssg-1000-10,16_685845118430679740,0.7827823460588826,2774.021225452423
Coffee,ssg-1000-10,9_135901288054330060,0.7827823460588826,2790.2844893932343
Coffee,adam-1000-1,1_1880673409218581198,0.679671469219552,2793.035279273987
Coffee,adam-1000-1,26_178609618212033237,0.679671469219552,2799.0918169021606
Coffee,ssg-1000-10,6_1476805196150411998,0.7827823460588826,2808.4445106983185
Coffee,ssg-1000-10,7_812740854903935712,0.7827823460588826,2810.1648275852203
Coffee,ssg-1000-10,2_313417440358765294,0.7827823460588826,2824.0543909072876
Coffee,ssg-1000-10,24_709542892544135943,0.7827823460588826,2848.910299062729
Coffee,ssg-1000-10,11_821326391449424659,0.7827823460588826,2861.0948758125305
Coffee,ssg-1000-10,15_336549515739730711,0.7827823460588826,2864.8854310512543
Coffee,ssg-1000-10,18_2149696966500487961,0.7827823460588826,2867.6201441287994
Coffee,ssg-1000-10,1_2012308590563365658,0.7827823460588826,2868.7725677490234
Coffee,ssg-1000-10,25_2166309487684555548,0.7827823460588826,2870.526627779007
Coffee,ssg-1000-10,21_232922194089284381,0.7827823460588826,2870.7124977111816
Coffee,ssg-1000-10,22_1388974558056223517,0.7827823460588826,2871.2497277259827
Coffee,ssg-1000-10,19_219946307614085923,0.7827823460588826,2876.7585175037384
Coffee,ssg-1000-10,8_614314740218270502,0.7827823460588826,2880.056996822357
Coffee,ssg-1000-10,0_2189667512705028917,0.7827823460588826,2895.8405001163483
Coffee,ssg-1000-10,12_966728557885592377,0.7827823460588826,2899.1884813308716
Coffee,ssg-1000-10,4_1727857235876320059,0.7827823460588826,2901.652163743973
Coffee,ssg-1000-10,13_2064666784522244926,0.7827823460588826,2904.6588294506073
Coffee,ssg-1000-10,27_1777047736835576645,0.7827823460588826,2911.357278585434
Coffee,adam-1000-10,2_885772066488259498,0.7345938509828673,1829.4836030006409
FaceFour,ssg-1000-1,4_692297602418283446,nan,1094.5467126369476
FaceFour,ssg-1000-1,6_1568176811441853508,35.52666927480413,1121.254391670227
FaceFour,ssg-1000-1,7_1636182155375612997,35.52666927480413,1103.8447024822235
FaceFour,ssg-1000-1,5_457026303330030695,34.746574728497365,1160.6054773330688
FaceFour,ssg-1000-1,8_1655184465082651757,35.52666927480413,1125.999799489975
FaceFour,ssg-1000-1,9_383019824931869940,35.52666927480413,1194.0015625953674
Coffee,ssg-1000-10,28_971526826629207697,0.905685271551864,2969.946988105774
Coffee,adam-1000-10,7_2020966694876289259,1.22994090790116,2974.342978954315
FaceFour,ssg-1000-10,6_1042112174597544181,40.08158512908524,1199.593863248825
FaceFour,ssg-1000-10,5_270075241747650827,40.08158512908524,1221.8213658332825
FaceFour,ssg-1000-10,4_2244946559303096618,42.55731617251995,1396.5811874866486
Coffee,adam-1000-10,8_358347333760391485,1.22994090790116,3019.2789113521576
Coffee,adam-1000-10,11_1391857477544253771,1.22994090790116,2902.989713191986
FaceFour,ssg-1000-10,7_1427385447016765786,43.61231140694997,1266.9596681594849
Coffee,adam-1000-10,22_1428570720551508326,1.22994090790116,2801.6701316833496
Coffee,adam-1000-10,9_454942728795396479,1.22994090790116,2977.428477048874
FaceFour,ssg-1000-10,8_1415747116436756875,40.08158512908524,1309.7443568706512
Coffee,adam-1000-10,12_701074453987006922,1.22994090790116,2980.3499817848206
Coffee,adam-1000-10,10_2259176438789773770,1.22994090790116,3043.8879203796387
Coffee,adam-1000-10,14_2228448387328317900,1.22994090790116,2963.2845940589905
FaceFour,ssg-1000-10,9_1582278597823896028,40.08158512908524,1255.711505651474
Coffee,adam-1000-10,13_103224352232643066,1.22994090790116,3009.5866873264313
Coffee,adam-1000-10,15_85150030339447298,1.22994090790116,3005.302081823349
Coffee,adam-1000-10,21_1469797458790783495,1.22994090790116,2965.7680230140686
Coffee,adam-1000-10,19_2247958671407389204,1.22994090790116,2997.8030185699463
Coffee,adam-1000-10,16_1994692215263140374,1.22994090790116,3020.1511313915253
Coffee,adam-1000-10,26_1524490465691245079,1.22994090790116,2965.9826834201813
Coffee,adam-1000-10,17_1452680261769566749,1.22994090790116,3016.9187178611755
Coffee,adam-1000-10,18_1759773309651589667,1.22994090790116,3015.8796458244324
Coffee,adam-1000-10,29_2229438497549130276,1.22994090790116,2976.9786121845245
Coffee,adam-1000-10,27_592324507662752299,1.22994090790116,2984.869485139847
Coffee,adam-1000-10,23_425593464915171885,1.22994090790116,2996.2013001441956
Coffee,adam-1000-10,28_455075769702357568,1.22994090790116,3004.2120440006256
Coffee,adam-1000-10,25_930478759029447251,1.22994090790116,3030.8708724975586
Coffee,adam-1000-10,20_554618405655616101,1.22994090790116,3074.162266254425
Coffee,adam-1000-10,24_1229642678807763557,1.22994090790116,3050.7535955905914
FaceFour,ssg-1000-10,12_2002610898006384065,42.42951526059783,1228.2650113105774
FaceFour,ssg-1000-10,13_2028166846770781711,42.42951526059783,1284.6220965385437
FaceFour,ssg-1000-10,17_1759219705547005456,40.922897054456804,1205.085154056549
FaceFour,ssg-1000-10,20_1334226575574375994,42.42951526059783,1198.8329651355743
FaceFour,ssg-1000-10,14_2155040593011482215,42.50341623693941,1340.6882710456848
FaceFour,ssg-1000-10,24_947185838213504688,42.42951526059783,1235.3702580928802
FaceFour,ssg-1000-1,0_213181012568383424,35.82829313624071,4401.376155614853
FaceFour,ssg-1000-1,2_1120383108844036101,35.82829313624071,4455.215767621994
FaceFour,ssg-1000-1,1_2100631809866801204,35.82829313624071,4509.292018413544
FaceFour,ssg-1000-1,3_380696007106568263,35.82829313624071,4519.676769733429
FaceFour,ssg-1000-1,11_390165551000789064,nan,3957.3742442131042
FaceFour,ssg-1000-1,10_46233366030131601,36.69486605259292,4349.816946029663
FaceFour,ssg-1000-1,12_1640377891747209888,37.415320994220686,4437.822331905365
FaceFour,ssg-1000-1,15_1280856830917944109,37.415320994220686,4371.893184423447
FaceFour,ssg-1000-1,18_856456887468499803,37.415320994220686,4326.42631483078
FaceFour,adam-1000-10,10_607441693033046894,60.14710723956682,1452.223296403885
FaceFour,adam-1000-10,12_2199724745564300174,67.2323006875775,1406.0133831501007
FaceFour,adam-1000-10,11_679338208617505687,60.14710723956682,1415.1982488632202
FaceFour,adam-1000-10,13_1408156088158593984,60.14710723956682,1413.7802078723907
FaceFour,ssg-1000-1,13_1760503935128249332,37.415320994220686,4594.970176935196
FaceFour,ssg-1000-1,17_881406455570179106,37.415320994220686,4531.757510900497
FaceFour,ssg-1000-1,27_256378625400448039,37.415320994220686,4499.661161899567
FaceFour,ssg-1000-1,22_1492729423055496232,37.415320994220686,4513.601004123688
FaceFour,ssg-1000-1,26_2296100238273750087,37.415320994220686,4536.585315465927
FaceFour,ssg-1000-1,28_608692937265456219,37.415320994220686,4548.783602714539
FaceFour,ssg-1000-1,23_1974379837451609184,37.415320994220686,4569.482087135315
